Release 8.1i - Fit I.24
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6- 7-2006  2:16PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  mergerStateMachine.ngd
output file: mergerStateMachine_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,ClearEventReady,I,I/O/GTS2,INPUT,LVCMOS18,2,,FAST,,,,
P2,SetMonitorEventReady<0>,I,I/O/GTS3,INPUT,LVCMOS18,2,,FAST,,,,
P3,SetMonitorEventReady<1>,I,I/O/GTS0,INPUT,LVCMOS18,2,,FAST,,,,
P4,KPR,,I/O/GTS1,,,2,,,,,,,
P5,,VCCAUX,VAUX,,,,,,,,,,
P6,KPR,,I/O,,,2,,,,,,,
P7,KPR,,I/O,,,2,,,,,,,
P8,KPR,,I/O,,,2,,,,,,,
P9,KPR,,I/O,,,2,,,,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,1,,,,,,,
P15,KPR,,I/O,,,1,,,,,,,
P16,KPR,,I/O,,,1,,,,,,,
P17,KPR,,I/O,,,1,,,,,,,
P18,KPR,,I/O,,,1,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,KPR,,I/O/GCK0,,,1,,,,,,,
P23,Clk,GCK,I/O/GCK1,,LVCMOS18,1,,FAST,,,,
P24,KPR,,I/O/CDR,,,1,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCC,VCC,,,,,,,,,,
P27,KPR,,I/O/GCK2,,,1,,,,,,,
P28,KPR,,I/O/DGE,,,1,,,,,,,
P29,KPR,,I/O,,,1,,,,,,,
P30,KPR,,I/O,,,1,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,KPR,,I/O,,,1,,,,,,,
P33,KPR,,I/O,,,1,,,,,,,
P34,KPR,,I/O,,,1,,,,,,,
P35,KPR,,I/O,,,1,,,,,,,
P36,KPR,,I/O,,,1,,,,,,,
P37,KPR,,I/O,,,1,,,,,,,
P38,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P39,KPR,,I/O,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
