"Bill of Material for Documents.PRJPCB"
"On 03/02/2004 at 17:43:14"

"Comment","Pattern","Quantity","Components"

"","LED","17","D1, D2, D3, D4, D?, JP?, JP?, JP?, JP IN, JP OUT, JTAG 2, R5, RELOJ, RESET, RESET FPGA, USB, VCC EXT",""
"0.1 uF","CAP 10","61","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C27, C29, C31, C32, C33, C34, C35, C36, C38, C39, C40, C41, C42, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C64, C65, C66, C68, C69, C70, C71, C72, C73, C74","Capacitor"
"1 K","AXIAL-0.4","2","R8, R9",""
"1 uF","CAP 10","1","C75","Capacitor"
"10 uF","1206(2)","3","C60, C62, C ADJ","Capacitor"
"1K","AXIAL-0.4","2","R4, R7",""
"220","SOP16A","2","R3, R?",""
"220 uF","CAPACITOR GRANDE 2","2","C61, C63","Capacitor"
"3.3 K","AXIAL-0.4","2","R1, R2",""
"47 uF","CAPACITOR GRANDE 2","8","C23, C24, C25, C26, C67, C76, C80, C81","Capacitor"
"C8051F320","LQFP-32","1","MICRO",""
"CONECTOR AER A","IDC-40","1","AER_A",""
"CONECTOR AER B","IDC-40","1","AER_B",""
"CONECTOR AER C","IDC-40","1","AER_C",""
"CONECTOR AER D","IDC-40","1","AER_D",""
"CONECTOR JTAG","CON_JTAG","1","JTAG",""
"CONECTOR MMC","MMC_CON","1","MMC","Connector"
"Header 5","HDR1X5","1","JP?","Header, 5-Pin"
"HM62W8511HC","SOJ36/400","6","BANCO 1, BANCO 2, BANCO 3, BANCO 4, BANCO 5, BANCO 6",""
"JUMPER","SIP-2","1","JP 2.5","Jumper"
"LT1584","TO-220","1","FUENTE 2.5",""
"LT1584-3.3V","TO-220","1","FUENTE 3.3",""
"LVC4245","SOJ24/400-THIN","13","BUFFER 1, BUFFER 2, BUFFER 4, BUFFER 5, BUFFER 6, BUFFER 7, BUFFER 8, BUFFER 9, BUFFER 10, BUFFER 11, BUFFER 12, BUFFER 13, BUFFER 14","Octal Bus Transceiver and 3.3-V to 5-V Shifter with 3-State Outputs"
"POT 0-500","POT","1","R6","Potentiometer"
"SN74VHC244","SOJ20/400-THIN","1","BUFFER 3",""
"XC17S50A","DIP-8","1","EPROM",""
"XC2S50-5PQ208C","F-QFP28X28-G208/P.5N","1","U1","Spartan-II 2.5V Field Programmable Gate Array"
